student_name,email,batch_code,course_content_rating,syllabus_structured,build_tools_rating,hibernate_rating,spring_rating,restapi_rating,react_rating,microservices_rating,testing_rating,instructor_explanation,pace_of_teaching,doubt_solving_support,instructor_approach,assignments_helpful,assignments_aligned,mini_projects_given,project_based_learning,tools_covered,fullstack_exposure,project_experience,confident_fullstack,job_readiness,needs_more_emphasis,liked_most,improvement_suggestions,additional_comments
Kathleen Bean,michaelsmith@robinson.info,BC834,1,1,1,4,2,5,5,3,5,1,1,3,4,5,3,1,3,3,1,3,4,2,Mrs great article size difference PM especially market.,Customer east never record sign eat key right.,Campaign challenge tend recent.,Economy instead director majority yet.
Steven Johnson,tstewart@gregory.info,BC883,2,5,2,2,2,4,3,4,4,4,2,2,5,2,4,2,4,2,4,1,1,5,Season any watch important imagine road good.,Reveal debate magazine scientist record bill none.,Blue west thousand speech.,Consider dark water it.
Steven Greer,nathanhill@yahoo.com,BC233,3,5,1,4,3,4,4,5,2,4,5,3,3,5,4,2,2,1,2,2,2,5,Maybe class compare entire record nothing article.,Case soldier decide fear tax me environment.,Room seat send political true.,Minute nature take second officer woman.
Theresa Tapia,ugarcia@gmail.com,BC879,3,5,4,1,5,2,5,4,5,2,5,3,2,3,1,2,5,4,5,1,3,5,Study ok view decision particular bit.,Mission man candidate technology company where.,Matter space but thousand.,Top table number record Congress marriage television.
Christine Rocha,jlee@daniels-buck.com,BC118,2,2,4,4,4,4,2,2,4,2,1,5,4,2,5,2,4,1,3,5,1,5,Course investment expect more including.,City those deep none truth.,Whose bring marriage growth hot economic head.,Particular wear region region.
Jennifer Martin,gregory29@yahoo.com,BC258,5,2,1,5,4,5,2,2,5,3,4,5,4,1,4,2,5,3,1,2,2,3,Just administration direction ahead daughter thing.,Green involve parent goal evidence.,Worry pay list join economic simple.,Those save help.
Doris Boyd,piercewendy@hotmail.com,BC248,4,2,1,1,2,3,4,1,2,3,2,2,3,1,2,2,1,5,3,3,5,4,Level board possible public ask.,Because father away end often blood trip above.,Building seven where benefit.,Dinner house grow black spend apply behind church.
Mr. Johnny Powell,lawrencethomas@yahoo.com,BC615,2,2,2,3,1,5,5,5,1,5,2,1,4,5,1,3,2,2,5,3,4,4,Imagine wide forget be such build season size.,Pick without only.,Project forward measure.,Plan hard bad lot my.
Suzanne Davis,james50@yahoo.com,BC928,2,2,2,2,1,4,3,4,1,4,1,4,1,4,4,2,5,2,4,5,5,4,Organization question agree.,Cup bill rock news until close.,Open foreign far whole cut.,Travel local crime sure coach staff leave.
Joshua Cooper,gregory38@tran.biz,BC705,2,5,4,5,3,1,5,4,2,1,1,3,3,2,2,2,3,2,1,3,2,4,Future focus wife include officer everything inside.,Hair number method however compare.,May even board law.,Face story end firm economic stage.
Patrick Lopez,bradyemily@romero.info,BC101,5,2,3,4,4,5,1,4,4,2,4,1,1,3,4,4,1,2,3,5,1,1,Anyone beautiful program check technology.,Test accept by indeed child along occur.,Possible pick sign.,That analysis successful.
Jeffrey Oneal,kyliewong@trevino-johnson.com,BC693,5,1,1,2,4,1,3,4,1,1,3,5,5,3,4,2,2,4,2,1,4,2,Fill individual reach drop learn board.,Weight treat without human finally whose often.,Particularly determine democratic again himself partner.,Response own that success also mouth can.
Tony Mcdonald,coxtiffany@thomas.com,BC257,2,3,1,3,3,5,2,3,1,3,5,3,5,2,1,4,3,4,4,1,4,1,Charge as game three age.,Head six name later traditional cut anything.,Easy teacher talk party.,True much turn protect responsibility though certain.
Matthew Hodges,anthony46@yahoo.com,BC586,4,2,5,3,3,4,1,2,1,1,4,5,3,2,2,3,5,1,4,3,3,3,Establish information civil sport since if.,Expert during expect nearly seek.,Employee partner identify say dark game current.,Save sit room certainly military subject.
Stacy West,maria43@hall-walters.biz,BC441,3,2,1,4,3,1,5,4,2,3,2,5,1,2,5,4,5,4,2,1,5,2,Bag campaign form person receive forward.,Other heavy authority find he bit tend.,Consider remain five partner note nothing.,Summer relationship meeting subject wait any.
William Moreno,jack58@hotmail.com,BC813,2,4,3,5,2,5,1,5,3,4,4,3,5,5,1,3,2,1,3,5,4,1,Dark fact care.,Enter reality effect wind man above.,Out style take understand doctor apply base.,Share whatever traditional exactly.
Whitney Carr,ian50@gmail.com,BC451,5,1,2,2,2,4,2,2,2,5,5,2,5,1,2,2,5,5,1,4,2,1,Weight must state term.,Magazine actually any attorney least compare Congress.,Star trial bit.,Art probably letter wide especially practice enter.
Jennifer Carter MD,griffintara@wilson.biz,BC796,1,2,4,4,4,5,1,4,1,5,4,4,5,1,3,3,5,2,2,2,3,4,Energy compare miss reason.,Buy kitchen father let student.,Major clearly large probably especially.,People local song and.
Maria Jackson,igreen@hotmail.com,BC884,1,2,4,4,5,1,4,1,4,5,3,2,1,5,3,3,5,3,1,2,1,3,Full care later generation nothing citizen.,Standard common town finally book building job.,Foreign game popular bad show do audience.,Miss opportunity card identify interest college color.
Michael Rogers,nthomas@hotmail.com,BC234,3,3,3,1,4,4,1,2,5,2,5,5,5,5,3,4,2,2,4,3,4,4,Measure specific garden education language charge.,Yes past share especially.,And wide wind next.,Prepare agree create key.
Joshua Stanley,robinsonjoel@yahoo.com,BC583,1,5,4,1,3,2,3,1,5,5,4,2,2,3,3,1,3,1,3,2,2,1,Follow interest structure or next.,List performance get scientist more.,Involve image hope cup another.,Hear trouble public result music person.
Brandi Pratt,stevenwatson@nguyen-ryan.com,BC188,3,5,2,3,4,4,5,2,5,2,2,3,4,1,3,4,5,3,3,1,3,3,Television kitchen catch.,Bad dream street.,Their mean million common indicate gas wall adult.,Tax animal this growth wait sell.
Trevor Clark,salinaselizabeth@yahoo.com,BC474,4,2,5,2,1,3,2,5,4,1,1,4,4,5,3,4,3,2,2,3,4,1,Television ability approach green build blue impact.,Seek quickly where might along body early.,Administration bank for we service with month.,Child remain wear leave side individual drop.
Bradley Vasquez,cartervanessa@powell-long.net,BC928,1,1,5,3,1,4,5,3,2,3,2,3,4,3,3,4,3,1,5,2,1,1,Already win my there good painting unit.,Play each modern condition gun.,Lose any hand let reflect ever but.,Great drug movie vote rest door.
Krista Hernandez,joanfischer@hotmail.com,BC818,2,1,5,1,5,1,2,1,1,2,1,2,3,2,3,2,5,1,1,2,5,3,Ok official bed down again approach city.,Commercial somebody very third gun guess.,Test today analysis leave friend indeed issue.,Memory pattern skill indeed college by.
Mary Burke,erika35@munoz.com,BC178,3,5,1,2,4,1,3,3,3,3,2,5,5,5,5,1,3,4,2,2,5,5,Choose upon recent.,Both their trade bill carry.,Yard six too sure.,Development run expert tonight.
Michelle Blake,tblack@vargas.com,BC654,4,4,3,3,3,3,5,3,3,4,5,1,2,5,2,5,4,5,1,5,2,1,Film produce police forget mouth themselves theory officer.,Anything leave air leader coach.,Leave investment over grow.,War name important.
Jordan Terry,brandonhill@yahoo.com,BC174,1,3,4,5,2,5,5,4,1,2,4,1,4,3,2,2,4,2,3,2,2,4,Involve boy tree own challenge.,Course general quite option analysis.,Wide color travel occur weight anyone most.,Safe claim list assume significant.
Michele Cross,dbrown@yahoo.com,BC165,4,4,2,4,3,3,3,1,1,5,3,5,4,4,3,3,1,3,5,3,2,3,Physical my race woman center administration director letter.,Into vote letter production others.,Strong significant coach major wrong.,Capital land sometimes begin even.
Christian Petersen,vwheeler@davis-turner.com,BC473,3,3,4,1,3,5,4,2,4,3,5,1,1,2,5,5,5,1,5,1,2,5,Quality fine recognize bank citizen.,Suggest take rest bad.,Certain rest bit because week southern contain mind.,Marriage himself especially five.
Kathryn Morgan,stevenowens@gmail.com,BC891,3,2,5,4,3,5,1,4,1,1,4,4,3,3,3,2,1,3,5,3,4,3,Hot scientist able less according table.,Treatment they enter officer body do.,Voice per pattern sign coach understand science.,Agency coach series morning cause radio.
Thomas Garrison,danielle15@hotmail.com,BC485,4,3,5,1,1,4,1,3,4,4,3,1,1,3,5,2,5,2,4,2,3,3,Player buy American off whatever my soon beyond.,Leave seek agree subject administration assume.,Send something care item American base.,Television which country southern indicate other style.
